PlazaName,Year,TotalCars
Albany (I-787),2018,110124.0
Albany (I-787),2019,123495.38888888889
Albany (I-787),2020,125540.55555555556
Albany (I-787),2021,104348.61111111111
Albany (I-787),2022,110379.11111111111
Albany (I-787),2023,127230.55555555556
Albany (I-787),2024,120704.22222222222
Albany (I-787),2025,122603.38888888889
Albany (I-87),2018,57798.055555555555
Albany (I-87),2019,63467.77777777778
Albany (I-87),2020,62627.666666666664
Albany (I-87),2021,44924.11111111111
Albany (I-87),2022,47209.61111111111
Albany (I-87),2023,59932.555555555555
Albany (I-87),2024,55330.11111111111
Albany (I-87),2025,57783.555555555555
Amsterdam,2018,62243.944444444445
Amsterdam,2019,74573.22222222222
Amsterdam,2020,73421.94444444444
Amsterdam,2021,50893.38888888889
Amsterdam,2022,60216.61111111111
Amsterdam,2023,73680.55555555556
Amsterdam,2024,73756.22222222222
Amsterdam,2025,68451.44444444444
Canajoharie,2018,100711.77777777778
Canajoharie,2019,110682.94444444444
Canajoharie,2020,104845.66666666667
Canajoharie,2021,86305.61111111111
Canajoharie,2022,86241.88888888889
Canajoharie,2023,103257.44444444444
Canajoharie,2024,105197.22222222222
Canajoharie,2025,110843.61111111111
Catskill,2018,117575.83333333333
Catskill,2019,127111.11111111111
Catskill,2020,127228.11111111111
Catskill,2021,105424.55555555556
Catskill,2022,105800.11111111111
Catskill,2023,124325.44444444444
Catskill,2024,127163.11111111111
Catskill,2025,130871.44444444444
Fulltonville,2018,43712.72222222222
Fulltonville,2019,49967.5
Fulltonville,2020,47431.555555555555
Fulltonville,2021,38729.61111111111
Fulltonville,2022,46868.444444444445
Fulltonville,2023,55558.666666666664
Fulltonville,2024,55230.555555555555
Fulltonville,2025,52028.333333333336
Herkimer,2018,88560.05555555556
Herkimer,2019,97842.33333333333
Herkimer,2020,97335.22222222222
Herkimer,2021,173862.27777777778
Herkimer,2022,178354.66666666666
Herkimer,2023,204403.33333333334
Herkimer,2024,199993.33333333334
Herkimer,2025,204748.38888888888
Schenectady (I-890 & Rt 5s),2018,19632.444444444445
Schenectady (I-890 & Rt 5s),2019,21731.222222222223
Schenectady (I-890 & Rt 5s),2020,20873.166666666668
Schenectady (I-890 & Rt 5s),2021,17600.166666666668
Schenectady (I-890 & Rt 5s),2022,17388.944444444445
Schenectady (I-890 & Rt 5s),2023,19056.055555555555
Schenectady (I-890 & Rt 5s),2024,18441.666666666668
Schenectady (I-890 & Rt 5s),2025,19101.944444444445
Schenectady (I-890),2018,17599.38888888889
Schenectady (I-890),2019,19638.333333333332
Schenectady (I-890),2020,19572.833333333332
Schenectady (I-890),2021,15652.777777777777
Schenectady (I-890),2022,16308.0
Schenectady (I-890),2023,18510.166666666668
Schenectady (I-890),2024,18155.944444444445
Schenectady (I-890),2025,18653.722222222223
Selkirk,2018,34574.055555555555
Selkirk,2019,37284.88888888889
Selkirk,2020,35609.333333333336
Selkirk,2021,28761.88888888889
Selkirk,2022,30428.61111111111
Selkirk,2023,39594.444444444445
Selkirk,2024,39285.72222222222
Selkirk,2025,42242.72222222222
